Group Size | Take-From-Adjacent | Take-From-Across
      1    |          1         |         1
      2    |          1         |         1
      3    |          3         |         3
      4    |          1         |         1
      5    |          3         |         2
      6    |          5         |         3
      7    |          7         |         5
      8    |          1         |         7
      9    |          3         |         9
     10    |          5         |         1
     11    |          7         |         2
     12    |          9         |         3
     13    |         11         |         4
     14    |         13         |         5
     15    |         15         |         6
     16    |          1         |         7
     17    |          3         |         8
     18    |          5         |         9
     19    |          7         |        11
     20    |          9         |        13
     21    |         11         |        15
     22    |         13         |        17
     23    |         15         |        19
     24    |         17         |        21
     25    |         19         |        23
     26    |         21         |        25
     27    |         23         |        27
     28    |         25         |         1
     29    |         27         |         2
     30    |         29         |         3
     31    |         31         |         4
     32    |          1         |         5
     33    |          3         |         6
     34    |          5         |         7
     35    |          7         |         8
     36    |          9         |         9
     37    |         11         |        10
     38    |         13         |        11
     39    |         15         |        12
     40    |         17         |        13
     41    |         19         |        14
     42    |         21         |        15
     43    |         23         |        16
     44    |         25         |        17
     45    |         27         |        18
     46    |         29         |        19
     47    |         31         |        20
     48    |         33         |        21
     49    |         35         |        22
     50    |         37         |        23
     51    |         39         |        24
     52    |         41         |        25
     53    |         43         |        26
     54    |         45         |        27
     55    |         47         |        29
     56    |         49         |        31
     57    |         51         |        33
     58    |         53         |        35
     59    |         55         |        37
     60    |         57         |        39
     61    |         59         |        41
     62    |         61         |        43
     63    |         63         |        45
     64    |          1         |        47
     65    |          3         |        49
     66    |          5         |        51
     67    |          7         |        53
     68    |          9         |        55
     69    |         11         |        57
     70    |         13         |        59
     71    |         15         |        61
     72    |         17         |        63
     73    |         19         |        65
     74    |         21         |        67
     75    |         23         |        69
     76    |         25         |        71
     77    |         27         |        73
     78    |         29         |        75
     79    |         31         |        77
     80    |         33         |        79
     81    |         35         |        81
     82    |         37         |         1
     83    |         39         |         2
     84    |         41         |         3
     85    |         43         |         4
     86    |         45         |         5
     87    |         47         |         6
     88    |         49         |         7
     89    |         51         |         8
     90    |         53         |         9
     91    |         55         |        10
     92    |         57         |        11
     93    |         59         |        12
     94    |         61         |        13
     95    |         63         |        14
     96    |         65         |        15
     97    |         67         |        16
     98    |         69         |        17
     99    |         71         |        18
    100    |         73         |        19
    101    |         75         |        20
    102    |         77         |        21
    103    |         79         |        22
    104    |         81         |        23
    105    |         83         |        24
    106    |         85         |        25
    107    |         87         |        26
    108    |         89         |        27
    109    |         91         |        28
    110    |         93         |        29
    111    |         95         |        30
    112    |         97         |        31
    113    |         99         |        32
    114    |        101         |        33
    115    |        103         |        34
    116    |        105         |        35
    117    |        107         |        36
    118    |        109         |        37
    119    |        111         |        38
    120    |        113         |        39
    121    |        115         |        40
    122    |        117         |        41
    123    |        119         |        42
    124    |        121         |        43
    125    |        123         |        44
    126    |        125         |        45
    127    |        127         |        46
    128    |          1         |        47
    129    |          3         |        48
    130    |          5         |        49
    131    |          7         |        50
    132    |          9         |        51
    133    |         11         |        52
    134    |         13         |        53
    135    |         15         |        54
    136    |         17         |        55
    137    |         19         |        56
    138    |         21         |        57
    139    |         23         |        58
    140    |         25         |        59
    141    |         27         |        60
    142    |         29         |        61
    143    |         31         |        62
    144    |         33         |        63
    145    |         35         |        64
    146    |         37         |        65
    147    |         39         |        66
    148    |         41         |        67
    149    |         43         |        68
    150    |         45         |        69
    151    |         47         |        70
    152    |         49         |        71
    153    |         51         |        72
    154    |         53         |        73
    155    |         55         |        74
    156    |         57         |        75
    157    |         59         |        76
    158    |         61         |        77
    159    |         63         |        78
    160    |         65         |        79
    161    |         67         |        80
    162    |         69         |        81
    163    |         71         |        83
    164    |         73         |        85
    165    |         75         |        87
    166    |         77         |        89
    167    |         79         |        91
    168    |         81         |        93
    169    |         83         |        95
    170    |         85         |        97
    171    |         87         |        99
    172    |         89         |       101
    173    |         91         |       103
    174    |         93         |       105
    175    |         95         |       107
    176    |         97         |       109
    177    |         99         |       111
    178    |        101         |       113
    179    |        103         |       115
    180    |        105         |       117
    181    |        107         |       119
    182    |        109         |       121
    183    |        111         |       123
    184    |        113         |       125
    185    |        115         |       127
